gu,bjd,apt_name_raw,apt_name_clean,matched_name,matched_addr,matched_road,lat,lng,match_level,query
관악구,봉천동,e편한세상서울대입구2차,e편한세상서울대입구2차,e편한세상서울대입구2차아파트,서울 관악구 봉천동 1733,서울 관악구 참숯1길 19,37.478053894698384,126.9415384650226,3,e편한세상서울대입구2차 관악구 봉천동
관악구,봉천동,탑,탑,낙성대삼층석탑,서울 관악구 봉천동 228,서울 관악구 낙성대로 77,37.4711059572237,126.960497179927,3,탑 관악구 봉천동
관악구,남현동,송림퍼스트빌,송림퍼스트빌,송림퍼스트빌아파트,서울 관악구 남현동 602-283,,37.471550374673,126.978929217218,3,송림퍼스트빌 관악구 남현동
관악구,봉천동,에메랄드101동,에메랄드,에메랄드아파트,서울 관악구 봉천동 41-253,서울 관악구 은천로34길 23,37.48571945755367,126.95317850449575,3,에메랄드 관악구 봉천동
관악구,봉천동,에메랄드102동,에메랄드,에메랄드아파트,서울 관악구 봉천동 41-253,서울 관악구 은천로34길 23,37.48571945755367,126.95317850449575,3,에메랄드 관악구 봉천동
관악구,봉천동,동아타운21,동아타운21,동아타운21아파트,서울 관악구 봉천동 7-312,서울 관악구 관악로37길 15,37.48893035348865,126.95714536005424,3,동아타운21 관악구 봉천동
관악구,신림동,미래,미래,미래부동산,서울 관악구 신림동 519-8,서울 관악구 조원로 103,37.48493852367652,126.91363949886784,3,미래 관악구 신림동
관악구,봉천동,삼성,삼성,삼성전자서비스 관악센터,서울 관악구 봉천동 931-5,서울 관악구 남부순환로 1719,37.48285082328949,126.9414510605341,3,삼성 관악구 봉천동
관악구,신림동,산장그린,산장그린,산장그린아파트,서울 관악구 신림동 412-137,서울 관악구 문성로38라길 7,37.475362372935514,126.92959430729276,3,산장그린 관악구 신림동
관악구,봉천동,경원시티,경원시티,경원로얄시티아파트,서울 관악구 봉천동 148-139,서울 관악구 남부순환로247길 99,37.47906471545354,126.9637377570606,3,경원시티 관악구 봉천동
관악구,봉천동,낙성대늘푸른2차,낙성대늘푸른2차,낙성대늘푸른2차아파트,서울 관악구 봉천동 1690-159,서울 관악구 남부순환로 1963,37.47600947056355,126.9670833545427,3,낙성대늘푸른2차 관악구 봉천동
관악구,남현동,예촌그린,예촌그린,예촌하이츠빌아파트,서울 관악구 남현동 1072-60,서울 관악구 남부순환로260길 83,37.4728096381781,126.97280841038372,3,예촌그린 관악구 남현동
관악구,봉천동,늘푸른3차,늘푸른3차,늘푸른3차아파트,서울 관악구 봉천동 1690-168,서울 관악구 남부순환로249길 13-12,37.47654559800937,126.967179215525,3,늘푸른3차 관악구 봉천동
관악구,신림동,상목에버빌A,상목에버빌A,상목에버빌아파트 A동,서울 관악구 신림동 1559-15,서울 관악구 호암로 568,37.468123473380565,126.93236609337956,3,상목에버빌A 관악구 신림동
관악구,봉천동,신부파스카빌,신부파스카빌,신부아파트,서울 관악구 봉천동 466-1,서울 관악구 은천로25가길 6,37.48740011850945,126.94948570003108,3,신부파스카빌 관악구 봉천동
관악구,남현동,관악산대창센시티2차,관악산대창센시티2차,관악산대창센시티2차아파트,서울 관악구 남현동 1139,서울 관악구 남부순환로260길 119,37.471815675692426,126.9721723150446,3,관악산대창센시티2차 관악구 남현동
관악구,남현동,삼원하이츠11차,삼원하이츠11차,삼원하이츠11차,서울 관악구 남현동 602-210,서울 관악구 승방1길 46,37.47248953595796,126.9807365936324,3,삼원하이츠11차 관악구 남현동
관악구,봉천동,부미아띠랑스힐,부미아띠랑스힐,부미아띠랑스힐아파트,서울 관악구 봉천동 1715,서울 관악구 남부순환로230길 117,37.474841167341296,126.95444016536972,3,부미아띠랑스힐 관악구 봉천동
관악구,봉천동,휴먼아파트A,휴먼아파트A,휴먼아파트 A동,서울 관악구 봉천동 1644-31,서울 관악구 인헌3길 31,37.474443087339274,126.96882728944064,3,휴먼아파트A 관악구 봉천동
관악구,남현동,e산이랑,e산이랑,이산이랑아파트,서울 관악구 남현동 602-153,서울 관악구 승방3나길 41,37.47206488051348,126.97909186121773,3,e산이랑 관악구 남현동
관악구,신림동,파로스프라자,파로스프라자,파로스프라자아파트,서울 관악구 신림동 1738,서울 관악구 난곡로 100,37.464251880009,126.919509505889,3,파로스프라자 관악구 신림동
관악구,남현동,카사빌,카사빌,카사빌아파트,서울 관악구 남현동 602-150,서울 관악구 승방3나길 31,37.472233437418275,126.97947956812604,3,카사빌 관악구 남현동
관악구,봉천동,대안그린,대안그린,대안그린아파트,서울 관악구 봉천동 926-2,서울 관악구 남부순환로 1727-8,37.48282965708584,126.9423827221186,3,대안그린 관악구 봉천동
관악구,봉천동,하이캐슬101동,하이캐슬,하이캐슬아파트,서울 관악구 봉천동 1595-14,서울 관악구 관악로6길 21,37.475042621752365,126.95348588423673,3,하이캐슬 관악구 봉천동
관악구,남현동,라움아파트,라움아파트,라움아파트,서울 관악구 남현동 602-110,서울 관악구 승방길 90-1,37.47167353153728,126.9774053100456,3,라움아파트 관악구 남현동
관악구,봉천동,관악미래가,관악미래가,관악미래가아파트,서울 관악구 봉천동 148-129,서울 관악구 솔밭로 24,37.4792386025799,126.963712800204,3,관악미래가 관악구 봉천동
관악구,봉천동,신성새실마을103동,신성새실마을,신성새실마을아파트,서울 관악구 봉천동 1605-1,서울 관악구 관악로6길 86,37.47790069117675,126.95365595842118,3,신성새실마을 관악구 봉천동
관악구,봉천동,e편한세상서울대입구2단지,e편한세상서울대입구2단지,e편한세상서울대입구2차아파트,서울 관악구 봉천동 1733,서울 관악구 참숯1길 19,37.478053894698384,126.9415384650226,3,e편한세상서울대입구2단지 관악구 봉천동
관악구,봉천동,하이캐슬102동,하이캐슬,하이캐슬아파트,서울 관악구 봉천동 1595-14,서울 관악구 관악로6길 21,37.475042621752365,126.95348588423673,3,하이캐슬 관악구 봉천동
관악구,남현동,양지빌라트,양지빌라트,양지빌라트,서울 관악구 신림동 504-16,서울 관악구 남부순환로161가길 46,37.48485023099779,126.916149682332,2,양지빌라트 관악구
관악구,신림동,상목에버빌B,상목에버빌B,상목에버빌아파트 B동,서울 관악구 신림동 1559-15,서울 관악구 호암로 568,37.467902652656406,126.93223855572651,3,상목에버빌B 관악구 신림동
관악구,봉천동,금강아미움(102동),금강아미움,청룡금강아미움아파트,서울 관악구 봉천동 1522-28,서울 관악구 장군봉1길 6,37.4818123963397,126.940520238377,3,금강아미움 관악구 봉천동
관악구,신림동,서울중앙,서울중앙,서울대학교 관악캠퍼스 중앙도서관 본관,서울 관악구 신림동 산 56-1,서울 관악구 관악로 1,37.4594581307962,126.95197643544,3,서울중앙 관악구 신림동
관악구,남현동,노블스톤,노블스톤,노블스톤아파트,서울 관악구 남현동 1072-50,서울 관악구 남부순환로256나길 7,37.4731350612988,126.973505805619,3,노블스톤 관악구 남현동
관악구,봉천동,푸르빌2차,푸르빌2차,푸른빌2차아파트,서울 관악구 봉천동 1618-24,서울 관악구 남부순환로234길 52,37.47718267955599,126.95626345518625,3,푸르빌2차 관악구 봉천동
관악구,봉천동,신부,신부,신부아파트,서울 관악구 봉천동 457-146,서울 관악구 중앙길 83-7,37.48517590336204,126.95036799157226,3,신부 관악구 봉천동
관악구,남현동,네스코수피아,네스코수피아,네스코수피아,서울 관악구 남현동 602-28,서울 관악구 승방4길 6,37.473858188616305,126.98084816209084,3,네스코수피아 관악구 남현동
관악구,봉천동,관악캐스빌,관악캐스빌,관악캐스빌아파트,서울 관악구 봉천동 1690-162,서울 관악구 남부순환로249길 5-14,37.476380587735335,126.9667304632439,3,관악캐스빌 관악구 봉천동
관악구,봉천동,금강아미움(105동),금강아미움,청룡금강아미움아파트,서울 관악구 봉천동 1522-28,서울 관악구 장군봉1길 6,37.4818123963397,126.940520238377,3,금강아미움 관악구 봉천동
관악구,신림동,신림스카이아파트,신림스카이아파트,신림스카이아파트,서울 관악구 신림동 1744,서울 관악구 신림로 185,37.47471424663859,126.93537636848475,3,신림스카이아파트 관악구 신림동
관악구,신림동,위드비엠3,위드비엠3,위드비엠3아파트,서울 관악구 신림동 538-39,서울 관악구 난곡로65길 13,37.4821695849892,126.913448218003,3,위드비엠3 관악구 신림동
관악구,신림동,G밸리마인드,G밸리마인드,G밸리마인드,서울 관악구 신림동 1655-17,서울 관악구 시흥대로 558-1,37.4827814133808,126.90196929295,3,G밸리마인드 관악구 신림동
관악구,봉천동,에메랄드103동,에메랄드,에메랄드아파트,서울 관악구 봉천동 41-253,서울 관악구 은천로34길 23,37.48571945755367,126.95317850449575,3,에메랄드 관악구 봉천동
관악구,신림동,호등자이젠아파트(1665-9),호등자이젠아파트,호등자이젠아파트,서울 관악구 신림동 1665-9,서울 관악구 조원중앙로1길 66,37.48015676418978,126.90087604308442,3,호등자이젠아파트 관악구 신림동
관악구,신림동,삼성홈타운,삼성홈타운,삼성홈타운아파트,서울 관악구 신림동 412-363,서울 관악구 문성로38길 69-7,37.4755899633603,126.930499646784,3,삼성홈타운 관악구 신림동
관악구,남현동,현대빌라트,현대빌라트,현대빌라트,서울 관악구 봉천동 41-83,서울 관악구 은천로37길 24,37.48705175530996,126.95473804025488,2,현대빌라트 관악구 남현동
관악구,남현동,VIP(602-284),VIP,VIP아파트,서울 관악구 남현동 602-284,서울 관악구 승방1길 87,37.471498076350805,126.97870766043556,3,VIP 관악구 남현동
관악구,신림동,지붕위애,지붕위애,지붕위애,서울 관악구 신림동 1463-11,서울 관악구 관천로 74,37.4856760755878,126.924964671158,3,지붕위애 관악구 신림동
관악구,신림동,GS파크뷰,GS파크뷰,GS파크뷰아파트,서울 관악구 신림동 406-69,서울 관악구 신림로 175,37.474500213698086,126.93448005699798,3,GS파크뷰 관악구 신림동
관악구,봉천동,보람(685-100),보람,보람아파트,서울 관악구 봉천동 685-103,서울 관악구 당곡2길 109-11,37.49287783089443,126.93402639166136,3,보람 관악구 봉천동
관악구,신림동,힐스테이트뉴포레,힐스테이트뉴포레,힐스테이트뉴포레아파트,서울 관악구 신림동 1746,서울 관악구 조원로 25,37.48398143558965,126.9051324264748,3,힐스테이트뉴포레 관악구 신림동
관악구,봉천동,닷컴힐즈(1653-3),닷컴힐즈,닷컴힐즈,서울 관악구 봉천동 1653-1,서울 관악구 남부순환로 1990-3,37.47504169429283,126.97012939985612,3,닷컴힐즈 관악구 봉천동
관악구,봉천동,관악교수,관악교수,관악교수아파트,서울 관악구 봉천동 1617-44,서울 관악구 관악로8길 49,37.47548852828869,126.95558499592616,3,관악교수 관악구 봉천동
관악구,봉천동,닷컴힐즈,닷컴힐즈,닷컴힐즈,서울 관악구 봉천동 1653-1,서울 관악구 남부순환로 1990-3,37.47504169429283,126.97012939985612,3,닷컴힐즈 관악구 봉천동
관악구,신림동,신림더루나,신림더루나,신림더루나아파트,서울 관악구 신림동 1433-29,,37.484799667803,126.928306668106,3,신림더루나 관악구 신림동
관악구,신림동,늘푸른,늘푸른,종로늘푸른약국,서울 관악구 신림동 1514,서울 관악구 신림로 137,37.47120044507562,126.93399570819298,3,늘푸른 관악구 신림동
관악구,남현동,팔라시오,팔라시오,팔라시오아파트,서울 관악구 남현동 1053-9,서울 관악구 남부순환로260길 48,37.4743240064725,126.971827710289,3,팔라시오 관악구 남현동
관악구,봉천동,새진3차,새진3차,새진3차아파트,서울 관악구 봉천동 1618-27,서울 관악구 남부순환로234길 58,37.47689793085522,126.95618335222905,3,새진3차 관악구 봉천동
관악구,남현동,플라워스위트101동102동,플라워스위트101동,플라워스위트아파트 101동,서울 관악구 남현동 1086-7,서울 관악구 남현1가길 43,37.47393695734155,126.97787039608676,3,플라워스위트101동 관악구 남현동
관악구,봉천동,로마아트빌,로마아트빌,봉천로마아트빌아파트,서울 관악구 봉천동 635-457,서울 관악구 국회단지15길 39,37.48961095923949,126.93941045368702,3,로마아트빌 관악구 봉천동
관악구,봉천동,관악중앙하이츠포레,관악중앙하이츠포레,관악중앙하이츠포레아파트,서울 관악구 봉천동 1737,서울 관악구 장군봉13길 14,37.47954594888475,126.93971140345896,3,관악중앙하이츠포레 관악구 봉천동
서초구,반포동,반포래미안아이파크,반포래미안아이파크,반포래미안아이파크아파트,서울 서초구 반포동 1341,서울 서초구 서초중앙로 220,37.501422672534254,127.0129094251818,3,반포래미안아이파크 서초구 반포동
서초구,반포동,반포미도,반포미도,반포미도1차아파트,서울 서초구 반포동 60-4,서울 서초구 서초중앙로29길 28,37.501353674137135,127.00878043670616,3,반포미도 서초구 반포동
서초구,서초동,래미안서초유니빌,래미안서초유니빌,래미안서초유니빌아파트,서울 서초구 서초동 1445-4,서울 서초구 서초중앙로 26,37.484698564940395,127.01696902827088,3,래미안서초유니빌 서초구 서초동
서초구,방배동,방배아이파크,방배아이파크,방배아이파크아파트,서울 서초구 방배동 3277,서울 서초구 동광로3길 18,37.49160413550485,126.9848386409981,3,방배아이파크 서초구 방배동
서초구,서초동,브라운스톤서초(1677-1),브라운스톤서초,브라운스톤서초오피스텔,서울 서초구 서초동 1677-1,서울 서초구 서초대로 334,37.494713068660666,127.01828756419464,3,브라운스톤서초 서초구 서초동
서초구,서초동,롯데캐슬쥬피터,롯데캐슬쥬피터,롯데캐슬쥬피터아파트,서울 서초구 서초동 1359-50,서울 서초구 서운로6길 15-20,37.48672495192928,127.03036597337103,3,롯데캐슬쥬피터 서초구 서초동
서초구,잠원동,신반포14,신반포14,14일의기적,서울 서초구 방배동 766-3,서울 서초구 방배중앙로27길 25,37.4951234055652,126.984349414203,2,신반포14 서초구
