구,행정동,거래건수,단지수,법정동수
영등포구,영등포동,1840,32,8
영등포구,영등포본동,895,7,2
용산구,남영동,130,5,3
용산구,보광동,44,3,1
용산구,서빙고동,321,13,4
용산구,용문동,373,6,2
용산구,용산2가동,25,2,1
용산구,원효로1동,753,20,4
용산구,원효로2동,614,12,6
용산구,이촌1동,2184,33,1
용산구,이촌2동,420,10,1
용산구,이태원1동,157,4,2
용산구,이태원2동,137,10,3
용산구,청파동,88,5,4
용산구,한강로동,829,25,5
용산구,한남동,874,40,3
용산구,효창동,362,25,2
용산구,후암동,119,18,1
은평구,갈현1동,181,11,1
은평구,갈현2동,554,29,1
은평구,구산동,788,49,4
은평구,녹번동,1293,30,2
은평구,대조동,906,56,3
은평구,불광1동,1571,29,1
은평구,불광2동,346,21,1
은평구,수색동,794,13,2
은평구,신사1동,805,39,3
은평구,신사2동,490,31,1
은평구,역촌동,540,61,4
은평구,응암1동,1410,42,2
은평구,응암2동,1924,24,2
은평구,응암3동,303,27,1
은평구,증산동,623,41,2
은평구,진관동,2358,39,1
종로구,교남동,577,5,4
종로구,무악동,553,5,1
종로구,부암동,13,3,1
종로구,사직동,345,14,5
종로구,숭인1동,138,2,1
종로구,숭인2동,363,22,1
종로구,이화동,13,4,3
종로구,종로1·2·3·4가동,280,6,5
종로구,종로5·6가동,145,6,4
종로구,창신1동,166,6,2
종로구,창신2동,76,16,1
종로구,창신3동,382,4,1
종로구,청운효자동,23,6,5
종로구,평창동,238,15,2
종로구,혜화동,165,12,4
중구,광희동,377,10,4
중구,다산동,112,24,1
중구,동화동,589,11,1
중구,명동,70,3,3
중구,소공동,229,6,3
중구,신당5동,359,4,1
중구,신당동,201,12,2
중구,약수동,935,8,1
중구,을지로동,75,5,3
중구,장충동,35,5,3
중구,중림동,444,9,3
중구,청구동,863,5,1
중구,필동,148,7,5
중구,황학동,875,15,1
중구,회현동,272,8,3
중랑구,망우3동,15,2,1
중랑구,망우본동,864,41,1
중랑구,면목2동,661,23,1
중랑구,면목3·8동,420,12,1
중랑구,면목4동,648,14,1
중랑구,면목5동,377,10,1
중랑구,면목7동,637,19,1
중랑구,면목본동,184,9,1
중랑구,묵1동,1502,37,2
중랑구,묵2동,330,12,1
중랑구,상봉1동,1138,19,4
중랑구,상봉2동,969,25,1
중랑구,신내1동,2314,31,1
중랑구,신내2동,1166,5,1
중랑구,중화1동,98,8,1
중랑구,중화2동,696,15,1
