구,법정동,아파트명,행정동,구_spatial,행정동_spatial,adm_nm
마포구,창전동,마포웨스트리버태영데시앙,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,서강예가,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,서강오벨리스크스위트,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,신촌금호,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,신촌태영데시앙,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,중앙하이츠101동,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,중앙하이츠102동,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,중앙하이츠103동,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,중앙하이츠104동,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,창전동현대홈타운,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,창전래미안,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,창전쌍용스윗닷홈,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,창전동,해모로,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,토정동,한강삼성,용강동,마포구,용강동,서울특별시 마포구 용강동
마포구,하중동,한강밤섬자이,서강동,마포구,서강동,서울특별시 마포구 서강동
마포구,합정동,KCC엠파이어리버,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,그레이스,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,그레이스3차,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,대운,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,대운행복,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,두레,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,두영이지안,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,두영이지안101동,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,두영이지안102동,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,리버아인,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,마포한강2차푸르지오,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,마포한강푸르지오,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,백운,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,삼성강변,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,에덴지우,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,일신건영휴먼빌아파트,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,장미(466-0),합정동,마포구,서강동,서울특별시 마포구 서강동
마포구,합정동,정원쉐르빌,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,펠리스아트빌,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,한강그린2차,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,한강동원아파트,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,한국프라우드,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,합정한강아파트,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,합정동,현대하이츠,합정동,마포구,합정동,서울특별시 마포구 합정동
마포구,현석동,강변힐스테이트,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,현석동,래미안웰스트림,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,현석동,반도유보라아일랜드,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,현석동,밤섬예가클래식,신수동,마포구,신수동,서울특별시 마포구 신수동
마포구,현석동,밤섬힐스테이트,신수동,마포구,신수동,서울특별시 마포구 신수동
서대문구,남가좌동,DMC금호리첸시아,남가좌1동,서대문구,남가좌1동,서울특별시 서대문구 남가좌1동
서대문구,남가좌동,DMC래미안클라시스,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,DMC센트럴아이파크,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,DMC센트레빌,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
서대문구,남가좌동,DMC에코자이,남가좌1동,서대문구,남가좌2동,서울특별시 서대문구 남가좌2동
